0,2,2
90,146,166
181,290,330
272,434,494
363,576,656
445,720,818
536,862,980
627,1006,1144
709,1150,1306
809,1292,1470
900,1438,1636
990,1580,1798
1063,1726,1960
1163,1868,2124
1263,2010,2288
1345,2156,2452
1436,2298,2614
1536,2442,2780
1627,2586,2944
1709,2730,3106
1763,2830,3218
